"animal_id","farm","breed","adg","initial_weight","days_on_feed"
1,"Farm1","Angus",1.59173621245953,316.572623243892,150
2,"Farm1","Angus",1.48641545266798,316.637305284215,139
3,"Farm1","Angus",1.61916780718173,289.478408999054,134
4,"Farm1","Angus",1.70904803539531,260.241084145981,147
5,"Farm1","Angus",1.5467755779491,325.507492251227,156
6,"Farm1","Angus",1.45068621935107,311.798052927027,105
7,"Farm1","Angus",1.55148013975399,259.596307021182,105
8,"Farm1","Angus",1.46560192287019,349.927113514761,133
9,"Farm1","Angus",1.41790626689196,356.990579402943,148
10,"Farm1","Angus",1.60638724551956,355.223996084413,129
11,"Farm1","Hereford",1.32877464920952,326.643814354051,165
12,"Farm1","Hereford",1.08409027125761,354.534428270124,144
13,"Farm1","Hereford",1.32422652260399,398.751638451304,125
14,"Farm1","Hereford",1.53768373023291,361.785416377512,144
15,"Farm1","Hereford",1.5919091803301,296.828126753661,142
16,"Farm1","Hereford",1.36513465569191,351.344598203625,125
17,"Farm1","Hereford",1.39061353760328,256.771746250137,146
18,"Farm1","Hereford",1.4751807471403,284.277326472499,170
19,"Farm1","Hereford",1.16371507492705,338.909491348934,138
20,"Farm1","Hereford",1.83722345756796,350.990548116657,133
21,"Farm1","Hereford",1.35597728268102,370.488456953483,140
22,"Farm1","Hereford",1.53208137506129,341.645189614656,144
23,"Farm1","Simmental",2.03350066072506,266.882775332714,146
24,"Farm1","Simmental",1.64087455374929,282.533964522066,128
25,"Farm1","Simmental",1.49914713392345,342.244058482974,130
26,"Farm1","Simmental",1.28575664199693,335.021231310202,150
27,"Farm1","Simmental",1.35479595408178,349.494775356328,149
28,"Farm1","Simmental",1.52912888811484,310.143415265492,140
29,"Farm1","Simmental",1.4515760843772,334.708818867678,102
30,"Farm1","Simmental",1.65007251889169,343.590247097866,154
31,"Farm1","Simmental",1.33536363318114,355.48108927936,138
32,"Farm1","Simmental",1.84757669955431,329.775744389736,122
33,"Farm2","Angus",1.30132484730345,331.043933063498,142
34,"Farm2","Angus",1.63598683891131,335.792113745776,143
35,"Farm2","Angus",1.41583439582711,363.405442449096,183
36,"Farm2","Angus",1.30215322609268,368.06451461735,129
37,"Farm2","Angus",1.58107482049643,329.642868015518,161
38,"Farm2","Angus",1.26328298993625,322.132548994556,130
39,"Farm2","Angus",1.69413833767125,313.136919375054,137
40,"Farm2","Angus",1.70486437851957,220.276497258043,131
41,"Farm2","Hereford",1.67916285460015,295.324976221683,133
42,"Farm2","Hereford",1.71320832672244,316.854561964024,147
43,"Farm2","Hereford",1.34000509130517,313.909833568276,128
44,"Farm2","Hereford",1.38510041856546,284.460756571872,145
45,"Farm2","Hereford",1.17475267885868,256.270934891627,127
46,"Farm2","Hereford",1.65398747770207,363.006590425744,147
47,"Farm2","Hereford",1.37066695598376,278.272961949586,143
48,"Farm2","Hereford",1.47332886255949,349.680536398369,135
49,"Farm2","Hereford",1.60682186759509,360.517669234595,139
50,"Farm2","Hereford",1.54099264831076,316.452742891893,168
51,"Farm2","Charolais",1.66676060616184,360.802229070096,156
52,"Farm2","Charolais",1.3789583286094,295.297772371925,135
53,"Farm2","Charolais",1.57080441215453,331.662661596028,158
54,"Farm2","Charolais",1.79585287431913,362.381187567748,148
55,"Farm2","Charolais",1.66465624589158,342.367912698282,138
56,"Farm2","Charolais",1.79209440795158,340.181869265403,135
57,"Farm2","Simmental",1.68310817659398,317.135186574671,114
58,"Farm2","Simmental",1.42031580039384,352.110420312953,141
59,"Farm2","Simmental",1.4453706200492,323.928709789243,137
60,"Farm2","Simmental",1.56193783949795,306.591666515084,144
61,"Farm2","Simmental",1.67702239827993,328.209618311986,158
62,"Farm2","Simmental",1.68503814440781,324.358125216974,122
63,"Farm2","Simmental",1.65629593836279,305.181151973107,165
64,"Farm2","Simmental",1.81715123436628,326.09367052571,112
65,"Farm3","Angus",1.37341685718314,289.826197612433,133
66,"Farm3","Angus",1.13887427159839,330.646746442237,128
67,"Farm3","Angus",1.4175386314226,314.165745921036,119
68,"Farm3","Angus",1.50846229998911,309.41299847891,150
69,"Farm3","Angus",1.88903557106504,340.540510454059,141
70,"Farm3","Angus",1.50606440705388,241.784234541383,143
71,"Farm3","Angus",1.56347896504029,342.174249994489,120
72,"Farm3","Angus",1.44562948537711,296.856234416193,139
73,"Farm3","Angus",1.43209485020243,282.081956177631,138
74,"Farm3","Angus",1.16293646407995,293.214641932673,146
75,"Farm3","Angus",1.48363977536206,274.518231442722,143
76,"Farm3","Angus",1.75952837886337,343.956017702225,134
77,"Farm3","Hereford",1.40186074426559,330.109628930687,141
78,"Farm3","Hereford",1.77173684957452,340.255980332911,128
79,"Farm3","Hereford",1.3661090946454,323.770846904307,128
80,"Farm3","Hereford",1.37986100867835,305.788914140836,149
81,"Farm3","Hereford",1.29823924833189,372.538509190738,167
82,"Farm3","Hereford",1.76460775213597,310.780216857766,153
83,"Farm3","Hereford",1.53694619178474,290.638104042429,141
84,"Farm3","Hereford",1.30897646016018,305.110004907721,145
85,"Farm3","Hereford",1.49982453032734,349.230808196378,160
86,"Farm3","Hereford",1.49559950932468,336.176761598098,131
87,"Farm3","Charolais",1.88475171511268,256.480268279729,145
88,"Farm3","Charolais",1.47142755986893,386.018118570331,137
89,"Farm3","Charolais",1.46125500295779,344.167261034219,140
90,"Farm3","Charolais",1.83155496567788,341.027081618179,118
91,"Farm3","Charolais",1.76274130094921,338.764274955606,124
92,"Farm3","Charolais",1.48713223779655,351.184892408149,132
93,"Farm3","Charolais",1.95889203992501,303.142703385405,180
94,"Farm3","Charolais",1.66624134576073,393.642722283869,126
95,"Farm3","Charolais",1.57339577995764,298.254361402718,144
96,"Farm3","Charolais",1.46051739569499,336.145747384924,144
97,"Farm3","Simmental",1.28931466400471,339.668129984164,150
98,"Farm3","Simmental",1.35065613791355,376.123549433191,127
99,"Farm3","Simmental",1.47203474726556,311.859026453564,138
100,"Farm3","Simmental",1.65900889653411,325.137082557979,146
101,"Farm3","Simmental",1.7442766652884,301.265967174522,147
102,"Farm3","Simmental",1.57414845122025,228.154100306571,146
103,"Farm3","Simmental",1.80762439509863,274.700591781654,128
104,"Farm3","Simmental",1.66266201042494,407.136589308709,132
105,"Farm3","Simmental",1.38109729902158,365.03655264584,145
106,"Farm3","Simmental",1.60625070185114,316.17012947801,144
107,"Farm3","Simmental",1.39293761343276,355.471922215594,123
108,"Farm3","Simmental",1.89012148680654,326.666051023304,157
109,"Farm4","Angus",1.57053100066775,307.032422967071,136
110,"Farm4","Angus",1.73035604315312,324.041138082408,128
111,"Farm4","Angus",1.29433567475431,300.614778534044,160
112,"Farm4","Angus",1.43213247110492,349.139017568375,130
113,"Farm4","Angus",1.45381991225526,271.590834101011,121
114,"Farm4","Angus",1.16721781924225,307.333199085653,128
115,"Farm4","Hereford",1.40488310973208,330.82368788575,116
116,"Farm4","Hereford",1.63909420980024,351.215644669339,156
117,"Farm4","Hereford",1.16078442735915,358.11259447461,149
118,"Farm4","Hereford",1.42159590060022,287.80606490841,147
119,"Farm4","Hereford",1.39031943072167,320.600450835955,140
120,"Farm4","Hereford",1.36820189254107,298.311170606888,161
121,"Farm4","Hereford",1.31468152390288,353.458868014215,127
122,"Farm4","Hereford",1.27450648085098,284.223981597244,132
123,"Farm4","Charolais",1.50281853349271,300.410026548079,143
124,"Farm4","Charolais",1.32991097286974,368.156854942371,147
125,"Farm4","Charolais",1.62516147322822,266.630858346703,152
126,"Farm4","Charolais",1.5718970982156,331.442667086191,172
127,"Farm4","Charolais",1.33176997412003,317.7828646828,128
128,"Farm4","Charolais",1.56973903346737,276.31362536685,144
129,"Farm4","Charolais",1.26821712905376,284.650346655294,124
130,"Farm4","Charolais",1.55615299065944,305.355339195423,151
131,"Farm4","Simmental",1.6870293386623,361.844377255027,144
132,"Farm4","Simmental",1.54040594213483,327.949087207802,142
133,"Farm4","Simmental",1.42089457600225,280.232559329176,122
134,"Farm4","Simmental",1.30695818533192,345.600883624456,140
135,"Farm4","Simmental",1.36715603909253,344.127067501233,135
136,"Farm4","Simmental",1.83119557460259,314.987056603147,152
137,"Farm5","Hereford",1.28817646486527,306.297727369282,136
138,"Farm5","Hereford",1.45225334501559,371.99500511652,134
139,"Farm5","Hereford",1.28293519746359,288.666813116389,120
140,"Farm5","Hereford",1.63884874853818,308.176341477707,122
141,"Farm5","Hereford",1.34680881147791,323.330583564555,151
142,"Farm5","Hereford",1.12514243450509,283.941167685281,177
143,"Farm5","Hereford",1.63834818590156,285.950389117355,139
144,"Farm5","Hereford",1.58425236257624,314.920164082336,160
145,"Farm5","Hereford",1.41233904132823,371.991637279819,145
146,"Farm5","Hereford",1.36098932653001,233.843215706654,146
147,"Farm5","Charolais",1.39244848084259,290.818456469356,160
148,"Farm5","Charolais",1.80373542456778,353.18973700753,100
149,"Farm5","Charolais",1.70484577268558,353.671733858333,119
150,"Farm5","Charolais",1.63438688934823,284.951723132433,165
151,"Farm5","Charolais",1.5327793622259,337.00983015219,104
152,"Farm5","Charolais",1.59306689147924,329.629214705746,176
153,"Farm5","Charolais",1.55847638899412,267.784616508516,139
154,"Farm5","Charolais",1.40499473650271,336.128234907156,159
155,"Farm5","Simmental",1.54965463649019,360.349983488503,114
156,"Farm5","Simmental",1.78380869872859,279.921937678006,137
157,"Farm5","Simmental",1.71017612877911,295.882713650566,121
158,"Farm5","Simmental",1.79257627888737,383.115645525915,145
159,"Farm5","Simmental",1.69940731643279,357.304784811985,139
160,"Farm5","Simmental",1.86814790069831,340.781334749575,152
161,"Farm5","Simmental",1.64036314853629,317.719519896291,147
162,"Farm5","Simmental",1.93330580621667,302.040026408497,147
